subid,attribution_technical,attribution_survey,convert_TF,Tier,revenue,,
20038701,facebook,facebook,TRUE,5,18.0931,,
20038774,search,tv,FALSE,8,#REF!,,
20038952,facebook,facebook,FALSE,1,#REF!,,
20038995,facebook,facebook,FALSE,4,#REF!,,
20039180,facebook,facebook,FALSE,1,#REF!,,
20039306,facebook,facebook,TRUE,7,36.1495,,
20039431,search,pinterest,TRUE,5,36.1495,,
20039457,facebook,facebook,TRUE,8,#REF!,,
20039467,facebook,facebook,FALSE,5,#REF!,,
20039643,facebook,facebook,TRUE,8,18.0931,,
20039711,facebook,facebook,FALSE,1,#REF!,,
20039722,facebook,facebook,FALSE,6,#REF!,,
20039800,facebook,facebook,TRUE,5,18.3867,,
20039837,facebook,facebook,FALSE,4,#REF!,,
20039856,search,facebook,TRUE,5,#REF!,,
20039966,facebook,tv,FALSE,5,#REF!,,
20040007,facebook,facebook,TRUE,7,#REF!,,
20040041,search,search,TRUE,4,#REF!,,
20040074,facebook,facebook,TRUE,4,36.1495,,
20040076,facebook,facebook,TRUE,8,#REF!,,
20040265,facebook,referral,TRUE,1,18.0931,,
20040374,facebook,facebook,TRUE,3,#REF!,,
20040691,facebook,facebook,TRUE,8,18.0931,,
20040706,search,podcast,TRUE,7,18.1665,,
20040952,facebook,facebook,TRUE,6,#REF!,,
20041013,facebook,tv,TRUE,5,#REF!,,
20041110,facebook,facebook,TRUE,6,#REF!,,
20041279,facebook,facebook,FALSE,4,#REF!,,
20041379,search,public_radio,TRUE,6,18.1665,,
20042045,facebook,other,TRUE,1,36.1495,,
20042238,facebook,facebook,TRUE,6,18.0931,,
20042275,search,tv,FALSE,6,#REF!,,
20042285,facebook,facebook,TRUE,2,#REF!,,
20042406,facebook,facebook,FALSE,8,#REF!,,
20042625,facebook,facebook,FALSE,2,#REF!,,
20042704,facebook,facebook,TRUE,5,#REF!,,
20042755,search,tv,FALSE,7,#REF!,,
20042964,search,facebook,TRUE,6,18.0931,,
20042978,search,tv,TRUE,8,18.0931,,
20043010,facebook,facebook,FALSE,1,#REF!,,
20043019,facebook,facebook,TRUE,8,36.1495,,
20043051,facebook,facebook,TRUE,8,18.0931,,
20043151,search,tv,FALSE,3,#REF!,,
20043169,facebook,facebook,TRUE,3,18.0564,,
20043395,facebook,facebook,FALSE,3,#REF!,,
20043474,facebook,public_radio,TRUE,1,54.2059,,
20043479,search,search,FALSE,7,#REF!,,
20043533,facebook,facebook,TRUE,4,36.1495,,
20043679,facebook,facebook,TRUE,2,#REF!,,
20043725,facebook,facebook,TRUE,8,36.1128,,
20043730,facebook,facebook,TRUE,4,36.1495,,
20043731,facebook,facebook,FALSE,6,#REF!,,
20043789,facebook,facebook,FALSE,4,#REF!,,
20043957,search,facebook,TRUE,8,#REF!,,
20044061,facebook,social_organic,TRUE,8,36.1495,,
20044087,search,facebook,TRUE,2,18.0931,,
20044265,facebook,tv,TRUE,3,#REF!,,
20044325,facebook,tv,TRUE,8,#REF!,,
20044566,search,search,TRUE,5,18.4234,,
20044761,search,facebook,FALSE,5,#REF!,,
20044843,facebook,facebook,TRUE,4,36.1495,,
20044913,facebook,facebook,FALSE,8,#REF!,,
20044921,facebook,facebook,TRUE,7,36.1495,,
20044927,facebook,facebook,TRUE,7,36.1495,,
20044956,facebook,facebook,TRUE,8,18.0931,,
20045111,facebook,facebook,FALSE,5,#REF!,,
20045321,facebook,facebook,FALSE,1,#REF!,,
20045534,facebook,facebook,TRUE,2,18.0931,,
20045575,search,facebook,FALSE,6,#REF!,,
20045696,search,facebook,FALSE,1,#REF!,,
20045729,search,facebook,FALSE,8,#REF!,,
20045779,search,,FALSE,8,#REF!,,
20045858,display,facebook,FALSE,8,#REF!,,
20045895,facebook,tv,FALSE,1,#REF!,,
20046038,search,search,FALSE,4,#REF!,,
20046084,facebook,facebook,TRUE,1,54.2059,,
20046213,search,search,TRUE,5,36.1495,,
20046261,facebook,facebook,FALSE,4,#REF!,,
20046280,facebook,affiliate,FALSE,6,#REF!,,
20046283,facebook,facebook,TRUE,7,36.1495,,
20046524,facebook,facebook,TRUE,6,18.0931,,
20046643,search,other,TRUE,8,18.3867,,
20046753,facebook,facebook,FALSE,4,#REF!,,
20046788,search,search,TRUE,5,18.0931,,
20046843,facebook,public_radio,FALSE,7,#REF!,,
20046850,facebook,social_organic,TRUE,5,18.717,,
20046987,facebook,tv,FALSE,3,#REF!,,
20047076,facebook,facebook,FALSE,2,#REF!,,
20047185,facebook,facebook,FALSE,8,#REF!,,
20047231,search,public_radio,TRUE,7,18.0931,,
20047351,facebook,facebook,TRUE,4,#REF!,,
20047391,facebook,other,TRUE,7,36.1495,,
20047625,facebook,facebook,TRUE,8,18.1665,,
20047692,search,search,TRUE,4,18.0931,,
20047738,facebook,tv,FALSE,1,#REF!,,
20048293,search,facebook,FALSE,2,#REF!,,
20048348,facebook,facebook,FALSE,8,#REF!,,
20048572,search,facebook,TRUE,8,18.1665,,
20048816,facebook,tv,TRUE,7,18.0931,,
20048894,facebook,facebook,FALSE,6,#REF!,,
20048976,facebook,facebook,TRUE,7,18.0931,,
20048999,facebook,facebook,TRUE,5,18.0931,,
20049136,facebook,facebook,TRUE,8,18.1665,,
20049195,search,facebook,FALSE,7,#REF!,,
20049208,facebook,facebook,FALSE,6,#REF!,,
20049272,facebook,tv,FALSE,1,#REF!,,
20049369,facebook,facebook,FALSE,1,#REF!,,
20049398,search,search,TRUE,6,18.0931,,
20049497,facebook,facebook,TRUE,5,#REF!,,
20049537,search,facebook,FALSE,7,#REF!,,
20049664,facebook,social_organic,TRUE,6,18.0931,,
20049701,facebook,facebook,TRUE,7,36.1495,,
20049884,facebook,facebook,FALSE,8,#REF!,,
20050114,facebook,facebook,TRUE,7,36.1495,,
20050242,facebook,facebook,FALSE,4,#REF!,,
20050254,facebook,social_organic,TRUE,8,18.0931,,
20050296,search,facebook_organic,TRUE,5,18.0931,,
20050334,facebook,facebook,FALSE,4,#REF!,,
20050435,facebook,facebook,TRUE,4,36.1495,,
20050444,search,referral,TRUE,7,18.0931,,
20050680,facebook,facebook,FALSE,1,#REF!,,
20050776,facebook,facebook,FALSE,4,#REF!,,
20050907,search,facebook,TRUE,5,18.0931,,
20050928,facebook,facebook,TRUE,6,18.0931,,
20050988,search,facebook,TRUE,4,36.1495,,
20051027,facebook,tv,FALSE,4,#REF!,,
20051119,facebook,facebook,TRUE,8,18.3867,,
20051159,facebook,facebook,FALSE,2,#REF!,,
20051231,facebook,facebook,FALSE,3,#REF!,,
20051316,search,search,TRUE,5,36.1495,,
20051753,facebook,tv,FALSE,6,#REF!,,
20051787,search,search,TRUE,6,18.1665,,
20051859,search,tv,FALSE,2,#REF!,,
20051912,facebook,facebook,FALSE,5,#REF!,,
20051934,facebook,facebook,FALSE,1,#REF!,,
20052003,facebook,referral,TRUE,8,36.1495,,
20052097,facebook,facebook,TRUE,3,#REF!,,
